sample_id,relative_file,source_filename,classification,source_group,annotation_status,training_ready,glyph_sequence,expected_ko,width_px,height_px,sha256,license_id,notes
hwr_w0002_s0001_img000002,datasets/handwriting/raw/images/hwr_w0002_s0001_img000002.jpeg,KakaoTalk_Image_2026-08-15-20-12-21_001.jpeg,handwriting,wall-session-01-writer-01,transcribed_pending_review,false,"ㅌ ㅔ ㄹ ㅏ ㅇ ㅡ ㅣ
ㅊ ㅏ ㅇ ㅈ ㅗ ㅁ ㅜ ㄹ ㅇ ㅡ ㄴ
ㅇ ㅏ ㅅ ㅡ ㅌ ㅔ ㄹ ㅜ ㅁ ㅇ ㅡ ㅣ
ㅂ ㅕ ㄹ ㅇ ㅣ ㄷ ㅗ ㅣ ㅇ ㅓ ㅂ ㅣ ㅊ ㄴ ㅏ ㄱ ㅗ
ㄱ ㅠ ㄴ ㅇ ㅕ ㄹ ㅇ ㅡ ㄹ ㄱ ㅏ ㄹ ㅗ ㅈ ㅣ ㄹ ㄹ ㅓ
ㄷ ㅏ ㅇ ㅅ ㅣ ㄴ ㅇ ㅔ ㄱ ㅔ ㄹ ㅗ
ㅎ ㅑ ㅇ ㅎ ㅐ ㄱ ㅏ ㄴ ㄷ ㅏ","테라의
창조물은
아스테룸의
별이 되어 빛나고
균열을 가로질러
당신에게로
향해간다",4000,3000,7bd58e78b653292c415763935c1bda54afcc571a8a37576732a4501f51a7e111,user_confirmed_training_allowed,분홍색 촬영본을 대응표로 전사함. 같은 작성자·같은 문자 내용인 다음 촬영본과 glyph_sequence 및 expected_ko를 동일하게 기록함
hwr_w0002_s0001_img000003,datasets/handwriting/raw/images/hwr_w0002_s0001_img000003.jpeg,KakaoTalk_Image_2026-08-15-20-12-21_002.jpeg,handwriting,wall-session-01-writer-01,transcribed_pending_review,false,"ㅌ ㅔ ㄹ ㅏ ㅇ ㅡ ㅣ
ㅊ ㅏ ㅇ ㅈ ㅗ ㅁ ㅜ ㄹ ㅇ ㅡ ㄴ
ㅇ ㅏ ㅅ ㅡ ㅌ ㅔ ㄹ ㅜ ㅁ ㅇ ㅡ ㅣ
ㅂ ㅕ ㄹ ㅇ ㅣ ㄷ ㅗ ㅣ ㅇ ㅓ ㅂ ㅣ ㅊ ㄴ ㅏ ㄱ ㅗ
ㄱ ㅠ ㄴ ㅇ ㅕ ㄹ ㅇ ㅡ ㄹ ㄱ ㅏ ㄹ ㅗ ㅈ ㅣ ㄹ ㄹ ㅓ
ㄷ ㅏ ㅇ ㅅ ㅣ ㄴ ㅇ ㅔ ㄱ ㅔ ㄹ ㅗ
ㅎ ㅑ ㅇ ㅎ ㅐ ㄱ ㅏ ㄴ ㄷ ㅏ","테라의
창조물은
아스테룸의
별이 되어 빛나고
균열을 가로질러
당신에게로
향해간다",4000,3000,52631c0306e78d9de2975443d9a720957dcc4d6f5d9725f1ee394d053a939f3f,user_confirmed_training_allowed,금색 촬영본. 사용자가 두 이미지의 문자가 동일하다고 확인하여 이전 촬영본과 같은 정답·group을 적용함
hwr_w0003_s0001_img000005,datasets/handwriting/raw/images/hwr_w0003_s0001_img000005.png,GNQoMNBbQAAqKBj.jpeg#right-page,handwriting,diary-session-01-writer-02,review_required,false,,,1024,1511,271ebb07c16a3ccf072e1392bb253003a6dbf8c08e2bb809bd92ed6097054f34,user_confirmed_training_allowed,review_src0001의 오른쪽 페이지를 무손실 PNG로 분리함. 왼쪽과 다른 작성자로 확인됐으며 격자 행별 전사가 필요함
hwr_w0004_s0001_img000006,datasets/handwriting/raw/images/hwr_w0004_s0001_img000006.png,KakaoTalk_Image_2026-08-15-20-12-33_003.jpeg#left-page,handwriting,diary-session-02-writer-01,review_required,false,,,1024,1453,376904c5d11c6315ea5e1ef2835f7c98ab122d279132196fe89956ff9f5a0d6c,user_confirmed_training_allowed,review_src0002의 왼쪽 페이지를 무손실 PNG로 분리함. 오른쪽과 다른 작성자로 확인됨
hwr_w0005_s0001_img000007,datasets/handwriting/raw/images/hwr_w0005_s0001_img000007.png,KakaoTalk_Image_2026-08-15-20-12-33_003.jpeg#right-page,handwriting,diary-session-02-writer-02,review_required,false,,,1024,1453,27364b0fbc74267c0d0b7eb4d7dcd74942cbc6005ca9536833d59ef5b7ca8a67,user_confirmed_training_allowed,review_src0002의 오른쪽 페이지를 무손실 PNG로 분리함. 왼쪽과 다른 작성자로 확인됨
hwr_w0006_s0001_img000008,datasets/handwriting/raw/images/hwr_w0006_s0001_img000008.png,KakaoTalk_Image_2026-08-15-20-12-33_004.jpeg#right-page,handwriting,diary-session-03-writer-01,review_required,false,,,1024,1439,0c346a11540a7671a16fa47a237c1240644932f579fdf633c3cc94d799d8b791,user_confirmed_training_allowed,혼합 원본의 오른쪽 손글씨 페이지를 무손실 PNG로 분리함. 작성자별 group을 독립 부여했으며 격자 행별 전사가 필요함
review_src0001_img000001,datasets/review/raw/images/review_multiwriter_src0001_img000001.jpeg,GNQoMNBbQAAqKBj.jpeg,review,diary-session-01-multiwriter,split_completed,false,,,2048,1511,04340a3e5e4fcde872f8a9e5007aa57d5036e188cbedc02839da866f5f0ee183,user_confirmed_training_allowed,"원본 보존. 왼쪽은 hwr_w0001_s0001_img000004, 오른쪽은 hwr_w0003_s0001_img000005로 분리함"
review_src0002_img000002,datasets/review/raw/images/review_multiwriter_src0002_img000002.jpeg,KakaoTalk_Image_2026-08-15-20-12-33_003.jpeg,review,diary-session-02-multiwriter,split_completed,false,,,2048,1453,6cede5e8a2b66a4a427cf051f20b663d531edde364e2f90a787b5f54bd39b9c1,user_confirmed_training_allowed,"원본 보존. 왼쪽은 hwr_w0004_s0001_img000006, 오른쪽은 hwr_w0005_s0001_img000007로 분리함"
review_src0003_img000003,datasets/review/raw/images/review_mixed_src0003_img000003.jpeg,KakaoTalk_Image_2026-08-15-20-12-33_004.jpeg,review,diary-session-03-mixed,split_completed,false,,,2048,1439,6dceec6711af30a7d4af310ee761a998ea0750f46cd6021106482ba4111b1fc7,user_confirmed_training_allowed,"원본 보존. 왼쪽 인쇄 페이지는 prt_src0008_img000008, 오른쪽 손글씨 페이지는 hwr_w0006_s0001_img000008로 분리함"
ref_mapping_0001,references/mapping/mapping-handwritten-v1.jpg,GNSW-UCa4AAcVif.jpg,reference,mapping-reference-01,reference_only,false,,,849,1200,a6b47c9b74b3517039d488797e5dbcb4422b98e822291e6145237ae5657a4e7c,user_confirmed_training_allowed,사용자가 손글씨 참고용 문자 대응표라고 확인함. 문장 OCR 학습 sample이 아니라 판독 보조 자료로만 사용
ref_mapping_0002,references/mapping/mapping-printed-v1.png,codex-clipboard-3b1a8fa2-c8b0-4f5e-971e-b280b4a691a9.png,reference,mapping-reference-02,reference_only,false,,,1008,165,beece6678f104909bb2726fc1ac067d1677884572659e5567903500bdd7520b6,user_confirmed_training_allowed,최종 아스테룸어·한글 대응표. 정답 판독 기준이며 학습 sample에는 포함하지 않음
